,,,,,,,,,,,,,,,,,,,,,,,,,,,
,296,뿌리,root,,,,,,,,,,,,,,,,,,,,,,,,
,297,호수,lake,,,,,,,,,,,,,,,,,,,,,,,,
,298,별,star,,,,,,,,,,,,,,,,,,,,,,,,
,299,잔디,grass,,,,,,,,,,,,,,,,,,,,,,,,
,300,나뭇잎,leaf,,,,,,,,,,,,,,,,,,,,,,,,
,301,공기,air,,,,,,,,,,,,,,,,,,,,,,,,
,302,모래,sand,,,,,,,,,,,,,,,,,,,,,,,,
,303,해변,beach,,,,,,,,,,,,,,,,,,,,,,,,
,304,파도,wave,,,,,,,,,,,,,,,,,,,,,,,,
,305,불,fire,,,,,,,,,,,,,,,,,,,,,,,,
,306,어름,ice,,,,,,,,,,,,,,,,,,,,,,,,
,307,섬,island,,,,,,,,,,,,,,,,,,,,,,,,
,308,언덕,hill,,,,,,,,,,,,,,,,,,,,,,,,
,309,열,fever; heat,,,,,,,,,,,,,,,,,,,,,,,,
,310,자연,nature,,,,,,,,,,,,,,,,,,,,,,,,
,311,유리,glass,,,,,,,,,,,,,,,,,,,,,,,,
,312,금속,metal,,,,,,,,,,,,,,,,,,,,,,,,
,313,플라스틱,plastic,,,,,,,,,,,,,,,,,,,,,,,,
,314,나무,"tree, wood",,,,,,,,,,,,,,,,,,,,,,,,
,315,돌,"stone, pebble",,,,,,,,,,,,,,,,,,,,,,,,
,316,다이아몬드,diamond,,,,,,,,,,,,,,,,,,,,,,,,
,317,찰흙,clay,,,,,,,,,,,,,,,,,,,,,,,,
,318,먼지,"dust, dirt",,,,,,,,,,,,,,,,,,,,,,,,
,319,금,gold,,,,,,,,,,,,,,,,,,,,,,,,
,320,구리,copper,,,,,,,,,,,,,,,,,,,,,,,,
,321,은,silver,,,,,,,,,,,,,,,,,,,,,,,,
,322,재료,"ingredient, material",,,,,,,,,,,,,,,,,,,,,,,,
,323,미터,meter,,,,,,,,,,,,,,,,,,,,,,,,
,324,센티미터,centimeter,,,,,,,,,,,,,,,,,,,,,,,,
,325,킬로미터,kilometer,,,,,,,,,,,,,,,,,,,,,,,,
,326,반,half,,,,,,,,,,,,,,,,,,,,,,,,
,327,서클,circle,,,,,,,,,,,,,,,,,,,,,,,,
,328,정사각형,square,,,,,,,,,,,,,,,,,,,,,,,,
,329,온도,temperature,,,,,,,,,,,,,,,,,,,,,,,,
,330,날짜,date,,,,,,,,,,,,,,,,,,,,,,,,
,331,무게,weight,,,,,,,,,,,,,,,,,,,,,,,,
,332,가장자리,edge,,,,,,,,,,,,,,,,,,,,,,,,
,333,지도,map,,,,,,,,,,,,,,,,,,,,,,,,
,334,점,point,,,,,,,,,,,,,,,,,,,,,,,,
,335,자음,consonant,,,,,,,,,,,,,,,,,,,,,,,,
,336,모음,vowel,,,,,,,,,,,,,,,,,,,,,,,,
,337,가벼운,light (weight),,,,,,,,,,,,,,,,,,,,,,,,
,338,소리,sound,,,,,,,,,,,,,,,,,,,,,,,,
,339,네,"yes, I see, okay (formal)",,,,,,,,,,,,,,,,,,,,,,,,
,340,아니요,No (formal),,,,,,,,,,,,,,,,,,,,,,,,
,341,조각,piece,,,,,,,,,,,,,,,,,,,,,,,,
,342,아픔,pain,,,,,,,,,,,,,,,,,,,,,,,,
,343,상처,wound,,,,,,,,,,,,,,,,,,,,,,,,
,344,구멍,hole,,,,,,,,,,,,,,,,,,,,,,,,
,345,이미지,image,,,,,,,,,,,,,,,,,,,,,,,,
,346,패턴,pattern,,,,,,,,,,,,,,,,,,,,,,,,
,347,명사,noun,,,,,,,,,,,,,,,,,,,,,,,,
,348,동사,verb,,,,,,,,,,,,,,,,,,,,,,,,
,349,형용사,adjective,,,,,,,,,,,,,,,,,,,,,,,,
,350,위에,above,,,,,,,,,,,,,,,,,,,,,,,,
,351,아래,under,,,,,,,,,,,,,,,,,,,,,,,,
,352,옆면,side of,,,,,,,,,,,,,,,,,,,,,,,,
,353,뒷면,back side,,,,,,,,,,,,,,,,,,,,,,,,
,354,안에,inside,,,,,,,,,,,,,,,,,,,,,,,,
,355,밖에,outside,,,,,,,,,,,,,,,,,,,,,,,,
,356,왼쪽,left side,,,,,,,,,,,,,,,,,,,,,,,,
,357,오른쪽,right side,,,,,,,,,,,,,,,,,,,,,,,,
,358,곧장,straight,,,,,,,,,,,,,,,,,,,,,,,,
,359,북쪽,north,,,,,,,,,,,,,,,,,,,,,,,,
,360,남쪽,south,,,,,,,,,,,,,,,,,,,,,,,,
,361,동쪽,east,,,,,,,,,,,,,,,,,,,,,,,,
,362,서쪽,west,,,,,,,,,,,,,,,,,,,,,,,,
,363,방향,direction,,,,,,,,,,,,,,,,,,,,,,,,
,364,여름,summer,,,,,,,,,,,,,,,,,,,,,,,,
,365,봄,spring,,,,,,,,,,,,,,,,,,,,,,,,
,366,겨울,winter,,,,,,,,,,,,,,,,,,,,,,,,
,367,가을,autumn,,,,,,,,,,,,,,,,,,,,,,,,
,368,계절,season,,,,,,,,,,,,,,,,,,,,,,,,
,369,공,zero; ball,,,,,,,,,,,,,,,,,,,,,,,,
,370,하나,1,,,,,,,,,,,,,,,,,,,,,,,,
,371,둘,2,,,,,,,,,,,,,,,,,,,,,,,,
,372,셋,3,,,,,,,,,,,,,,,,,,,,,,,,
,373,넷,4,,,,,,,,,,,,,,,,,,,,,,,,
,374,다섯,5,,,,,,,,,,,,,,,,,,,,,,,,
,375,여섯,6,,,,,,,,,,,,,,,,,,,,,,,,
,376,일곱,7,,,,,,,,,,,,,,,,,,,,,,,,
,377,여덟,8,,,,,,,,,,,,,,,,,,,,,,,,
,378,아홉,9,,,,,,,,,,,,,,,,,,,,,,,,
,379,열,10,,,,,,,,,,,,,,,,,,,,,,,,
,380,열하나,11,,,,,,,,,,,,,,,,,,,,,,,,
,381,열둘,12,,,,,,,,,,,,,,,,,,,,,,,,
,382,열셋,13,,,,,,,,,,,,,,,,,,,,,,,,
,383,열넷,14,,,,,,,,,,,,,,,,,,,,,,,,
,384,열다섯,15,,,,,,,,,,,,,,,,,,,,,,,,
,385,열여섯,16,,,,,,,,,,,,,,,,,,,,,,,,
,386,열일곱,17,,,,,,,,,,,,,,,,,,,,,,,,
,387,열여덜,18,,,,,,,,,,,,,,,,,,,,,,,,
,388,열아홉,19,,,,,,,,,,,,,,,,,,,,,,,,
,389,스물,20,,,,,,,,,,,,,,,,,,,,,,,,
,390,스물한,21,,,,,,,,,,,,,,,,,,,,,,,,
,391,스물두,22,,,,,,,,,,,,,,,,,,,,,,,,
,392,서른,30,,,,,,,,,,,,,,,,,,,,,,,,
,393,서른하나,31,,,,,,,,,,,,,,,,,,,,,,,,
,394,서른둘,32,,,,,,,,,,,,,,,,,,,,,,,,
,395,마흔,40,,,,,,,,,,,,,,,,,,,,,,,,
,396,마흔하나,41,,,,,,,,,,,,,,,,,,,,,,,,
,397,마흔둘,42,,,,,,,,,,,,,,,,,,,,,,,,
,398,쉰,50,,,,,,,,,,,,,,,,,,,,,,,,
,399,쉰하나,51,,,,,,,,,,,,,,,,,,,,,,,,
,400,쉰둘,52,,,,,,,,,,,,,,,,,,,,,,,,
,401,예순,60,,,,,,,,,,,,,,,,,,,,,,,,
,402,예순하나,61,,,,,,,,,,,,,,,,,,,,,,,,
,403,예순둘,62,,,,,,,,,,,,,,,,,,,,,,,,
,404,여든,80,,,,,,,,,,,,,,,,,,,,,,,,
,405,여든하나,81,,,,,,,,,,,,,,,,,,,,,,,,
,406,여든둘,82,,,,,,,,,,,,,,,,,,,,,,,,
,407,아흔,90,,,,,,,,,,,,,,,,,,,,,,,,
,408,아흔하나,91,,,,,,,,,,,,,,,,,,,,,,,,
,409,아흔둘,92,,,,,,,,,,,,,,,,,,,,,,,,
,410,백,100,,,,,,,,,,,,,,,,,,,,,,,,
,411,백하나,101,,,,,,,,,,,,,,,,,,,,,,,,
,412,백둘,102,,,,,,,,,,,,,,,,,,,,,,,,
,413,백십,110,,,,,,,,,,,,,,,,,,,,,,,,
,414,백십일,111,,,,,,,,,,,,,,,,,,,,,,,,
,415,천,1000,,,,,,,,,,,,,,,,,,,,,,,,
,416,천일,1001,,,,,,,,,,,,,,,,,,,,,,,,
,417,만,"10,000",,,,,,,,,,,,,,,,,,,,,,,,
,418,십만,"100,000",,,,,,,,,,,,,,,,,,,,,,,,
,419,백만,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,
,420,천만,"10,000,000",,,,,,,,,,,,,,,,,,,,,,,,
,421,억,"100,000,000",,,,,,,,,,,,,,,,,,,,,,,,
,422,십억,"1,000,000,000",,,,,,,,,,,,,,,,,,,,,,,,
,423,첫번째,first,,,,,,,,,,,,,,,,,,,,,,,,
,424,둘째,second,,,,,,,,,,,,,,,,,,,,,,,,
,425,세번째,third,,,,,,,,,,,,,,,,,,,,,,,,
,426,네번째,fourth,,,,,,,,,,,,,,,,,,,,,,,,
,427,다섯번째,fifth,,,,,,,,,,,,,,,,,,,,,,,,
,428,번호,number,,,,,,,,,,,,,,,,,,,,,,,,
,429,일월,January,,,,,,,,,,,,,,,,,,,,,,,,
,430,이월,February,,,,,,,,,,,,,,,,,,,,,,,,
,431,삼월,March,,,,,,,,,,,,,,,,,,,,,,,,
,432,사월,April,,,,,,,,,,,,,,,,,,,,,,,,
,433,오월,May,,,,,,,,,,,,,,,,,,,,,,,,
,434,유월,June,,,,,,,,,,,,,,,,,,,,,,,,
,435,칠월,July,,,,,,,,,,,,,,,,,,,,,,,,
,436,팔월,August,,,,,,,,,,,,,,,,,,,,,,,,
,437,구월,September,,,,,,,,,,,,,,,,,,,,,,,,
,438,시월,October,,,,,,,,,,,,,,,,,,,,,,,,
,439,십일월,November,,,,,,,,,,,,,,,,,,,,,,,,
,440,십이월,December,,,,,,,,,,,,,,,,,,,,,,,,
,441,월요일,Monday,,,,,,,,,,,,,,,,,,,,,,,,
,442,화요일,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,
,443,수요일,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,
,444,목요일,Thursday,,,,,,,,,,,,,,,,,,,,,,,,
,445,금요일,Friday,,,,,,,,,,,,,,,,,,,,,,,,
,446,토요일,Saturday,,,,,,,,,,,,,,,,,,,,,,,,
,447,일요일,Sunday,,,,,,,,,,,,,,,,,,,,,,,,
,448,년,year (counter),,,,,,,,,,,,,,,,,,,,,,,,
,449,달,month (counter),,,,,,,,,,,,,,,,,,,,,,,,
,450,시간,hour (duration); time,,,,,,,,,,,,,,,,,,,,,,,,
,451,분,minute; person (honorific),,,,,,,,,,,,,,,,,,,,,,,,
,452,밤,night,,,,,,,,,,,,,,,,,,,,,,,,
,453,일하다,to work,,,,,,,,,,,,,,,,,,,,,,,,
,454,놀다,to play,,,,,,,,,,,,,,,,,,,,,,,,
,455,걷다,to walk,,,,,,,,,,,,,,,,,,,,,,,,
,456,뛰다,to run,,,,,,,,,,,,,,,,,,,,,,,,
,457,운전하다,to drive,,,,,,,,,,,,,,,,,,,,,,,,
,458,날다,to fly,,,,,,,,,,,,,,,,,,,,,,,,
,459,수영하다,to swim,,,,,,,,,,,,,,,,,,,,,,,,
,460,가다,to go,,,,,,,,,,,,,,,,,,,,,,,,
,461,멈추다,to stop,,,,,,,,,,,,,,,,,,,,,,,,
,462,따르다,to follow,,,,,,,,,,,,,,,,,,,,,,,,
,463,생각하다,to think,,,,,,,,,,,,,,,,,,,,,,,,
,464,말하다,to speak,,,,,,,,,,,,,,,,,,,,,,,,
,465,먹다,to eat,,,,,,,,,,,,,,,,,,,,,,,,
,466,마시다,to drink,,,,,,,,,,,,,,,,,,,,,,,,
,467,죽이다,to kill,,,,,,,,,,,,,,,,,,,,,,,,
,468,죽다,to die,,,,,,,,,,,,,,,,,,,,,,,,
,469,웃다,"to laugh, smile",,,,,,,,,,,,,,,,,,,,,,,,
,470,울다,to cry,,,,,,,,,,,,,,,,,,,,,,,,
,471,사다,to buy,,,,,,,,,,,,,,,,,,,,,,,,
,472,지불하다,to pay,,,,,,,,,,,,,,,,,,,,,,,,
,473,팔다,to sell,,,,,,,,,,,,,,,,,,,,,,,,
,474,쏘다,to shoot,,,,,,,,,,,,,,,,,,,,,,,,
,475,배우다,to learn,,,,,,,,,,,,,,,,,,,,,,,,
,476,점프하다,to jump,,,,,,,,,,,,,,,,,,,,,,,,
,477,냄새를 맡다,to smell something,,,,,,,,,,,,,,,,,,,,,,,,
,478,듣다,"to listen, hear",,,,,,,,,,,,,,,,,,,,,,,,
,479,맛보다,to taste,,,,,,,,,,,,,,,,,,,,,,,,
,480,보다,to see,,,,,,,,,,,,,,,,,,,,,,,,
,481,만지다,to touch,,,,,,,,,,,,,,,,,,,,,,,,
,482,뽀뽀하다,to kiss,,,,,,,,,,,,,,,,,,,,,,,,
,483,불타다,to burn,,,,,,,,,,,,,,,,,,,,,,,,
,484,녹다,to melt,,,,,,,,,,,,,,,,,,,,,,,,
,485,파다,to dig,,,,,,,,,,,,,,,,,,,,,,,,
,486,폭발하다,to explode,,,,,,,,,,,,,,,,,,,,,,,,
,487,앉다,to sit,,,,,,,,,,,,,,,,,,,,,,,,
,488,서다,to stand,,,,,,,,,,,,,,,,,,,,,,,,
,489,사랑하다,to love,,,,,,,,,,,,,,,,,,,,,,,,
,490,지나가다,to pass by,,,,,,,,,,,,,,,,,,,,,,,,
,491,자르다,to cut (hair/trees/papers...),,,,,,,,,,,,,,,,,,,,,,,,
,492,싸우다,to fight,,,,,,,,,,,,,,,,,,,,,,,,
,493,눕다,to lie down,,,,,,,,,,,,,,,,,,,,,,,,
,494,춤추다,to dance,,,,,,,,,,,,,,,,,,,,,,,,
,495,자다,to sleep,,,,,,,,,,,,,,,,,,,,,,,,
,496,깨다,to wake up,,,,,,,,,,,,,,,,,,,,,,,,
,497,노래하다,to sing,,,,,,,,,,,,,,,,,,,,,,,,
,498,세다,to count,,,,,,,,,,,,,,,,,,,,,,,,
,499,결혼하다,to marry,,,,,,,,,,,,,,,,,,,,,,,,
,500,기도하다,to pray,,,,,,,,,,,,,,,,,,,,,,,,
,501,이기다,to win,,,,,,,,,,,,,,,,,,,,,,,,
,502,지다,to lose,,,,,,,,,,,,,,,,,,,,,,,,
,503,섞다,to mix,,,,,,,,,,,,,,,,,,,,,,,,
,504,구부리다,to bend,,,,,,,,,,,,,,,,,,,,,,,,
,505,씻다,to wash,,,,,,,,,,,,,,,,,,,,,,,,
,506,요리하다,to cook,,,,,,,,,,,,,,,,,,,,,,,,
,507,열다,to open,,,,,,,,,,,,,,,,,,,,,,,,
,508,닫다,to close,,,,,,,,,,,,,,,,,,,,,,,,
,509,쓰다,to write,,,,,,,,,,,,,,,,,,,,,,,,
,510,부르다,to call,,,,,,,,,,,,,,,,,,,,,,,,
,511,돌다,to turn,,,,,,,,,,,,,,,,,,,,,,,,
,512,건설하다,To construct or erect,,,,,,,,,,,,,,,,,,,,,,,,
,513,가르치다,to teach,,,,,,,,,,,,,,,,,,,,,,,,
,514,자라다,to grow up,,,,,,,,,,,,,,,,,,,,,,,,
,515,그리다,to draw,,,,,,,,,,,,,,,,,,,,,,,,
,516,먹이다,to feed,,,,,,,,,,,,,,,,,,,,,,,,
,517,잡다,to catch,,,,,,,,,,,,,,,,,,,,,,,,
,518,던지다,to throw,,,,,,,,,,,,,,,,,,,,,,,,
,519,청소하다,to clean,,,,,,,,,,,,,,,,,,,,,,,,
,520,찾다,"to find, look for",,,,,,,,,,,,,,,,,,,,,,,,
,521,넘어지다,to fall down,,,,,,,,,,,,,,,,,,,,,,,,
,522,밀다,to push,,,,,,,,,,,,,,,,,,,,,,,,
,523,당기다,pull,,,,,,,,,,,,,,,,,,,,,,,,
,524,들다,to cost; carry,,,,,,,,,,,,,,,,,,,,,,,,
,525,망가지다,to break down,,,,,,,,,,,,,,,,,,,,,,,,
,526,깨지다,to break,,,,,,,,,,,,,,,,,,,,,,,,
,527,입다,to wear,,,,,,,,,,,,,,,,,,,,,,,,
,528,흔들다,to shake,,,,,,,,,,,,,,,,,,,,,,,,
,529,서명하다,to sign (signature),,,,,,,,,,,,,,,,,,,,,,,,
,530,패다,"To beat, to bash",,,,,,,,,,,,,,,,,,,,,,,,
,531,들어올리다,to lift,,,,,,,,,,,,,,,,,,,,,,,,
,532,길다,to be long,,,,,,,,,,,,,,,,,,,,,,,,
,533,짧다,to be short,,,,,,,,,,,,,,,,,,,,,,,,
,534,키가 크다,to be tall (height),,,,,,,,,,,,,,,,,,,,,,,,
,535,키가 작다,to be short (short),,,,,,,,,,,,,,,,,,,,,,,,
,536,넓다,to be wide,,,,,,,,,,,,,,,,,,,,,,,,
,537,크다,to be big,,,,,,,,,,,,,,,,,,,,,,,,
,538,작다,to be small,,,,,,,,,,,,,,,,,,,,,,,,
,539,느리다,to be slow,,,,,,,,,,,,,,,,,,,,,,,,
,540,빠르다,to be fast,,,,,,,,,,,,,,,,,,,,,,,,
,541,뜨겁다,to be hot,,,,,,,,,,,,,,,,,,,,,,,,
,542,차겁다,to be cold,,,,,,,,,,,,,,,,,,,,,,,,
,543,따뜻하다,to be warm,,,,,,,,,,,,,,,,,,,,,,,,
,544,선선하다,to be cool,,,,,,,,,,,,,,,,,,,,,,,,
,545,새롭다,to be new,,,,,,,,,,,,,,,,,,,,,,,,
,546,오래되다,to be old (for inanimate objects),,,,,,,,,,,,,,,,,,,,,,,,
,547,젊다,"To be young,youthful",,,,,,,,,,,,,,,,,,,,,,,,
,548,늙다,to be old (person),,,,,,,,,,,,,,,,,,,,,,,,
,549,좋다,to be good,,,,,,,,,,,,,,,,,,,,,,,,
,550,나쁘다,to be bad,,,,,,,,,,,,,,,,,,,,,,,,
,551,젖다,"to be wet, damp",,,,,,,,,,,,,,,,,,,,,,,,
,552,건조하다,to be dry,,,,,,,,,,,,,,,,,,,,,,,,
,553,아프다,"to be sick, hurt",,,,,,,,,,,,,,,,,,,,,,,,
,554,건강하다,to be healthy,,,,,,,,,,,,,,,,,,,,,,,,
,555,시끄럽다,"to be noisy, loud",,,,,,,,,,,,,,,,,,,,,,,,
,556,조용하다,to be quiet,,,,,,,,,,,,,,,,,,,,,,,,
,557,행복하다,to be happy,,,,,,,,,,,,,,,,,,,,,,,,
,558,슬프다,to be sad,,,,,,,,,,,,,,,,,,,,,,,,
,559,아름답다,to be beautiful,,,,,,,,,,,,,,,,,,,,,,,,
,560,못생기다,to be ugly,,,,,,,,,,,,,,,,,,,,,,,,
,561,귀머거리,deaf person,,,,,,,,,,,,,,,,,,,,,,,,
,562,맹인,blind person,,,,,,,,,,,,,,,,,,,,,,,,
,563,착하다,"to be nice, kind",,,,,,,,,,,,,,,,,,,,,,,,
,564,가난하다,to be poor,,,,,,,,,,,,,,,,,,,,,,,,
,565,부유하다,to be wealthy,,,,,,,,,,,,,,,,,,,,,,,,
,566,두껍다,to be thick,,,,,,,,,,,,,,,,,,,,,,,,
,567,얇다,to be thin,,,,,,,,,,,,,,,,,,,,,,,,
,568,비싸다,to be expensive,,,,,,,,,,,,,,,,,,,,,,,,
,569,싸다,to be cheap,,,,,,,,,,,,,,,,,,,,,,,,
,570,평탄하다,"to be smooth, flat",,,,,,,,,,,,,,,,,,,,,,,,
,571,구부러지다,to be bent,,,,,,,,,,,,,,,,,,,,,,,,
,572,끼다,"To put on or wear, to wear (a ring)",,,,,,,,,,,,,,,,,,,,,,,,
,573,헐렁하다,"to be loose, baggy",,,,,,,,,,,,,,,,,,,,,,,,
,574,놉다,to be high,,,,,,,,,,,,,,,,,,,,,,,,
,575,낮다,to be low,,,,,,,,,,,,,,,,,,,,,,,,
,576,딱딱하다,to be hard,,,,,,,,,,,,,,,,,,,,,,,,
,577,부드럽다,to be soft,,,,,,,,,,,,,,,,,,,,,,,,
,578,깊다,to be deep,,,,,,,,,,,,,,,,,,,,,,,,
,579,얕다,to be shallow,,,,,,,,,,,,,,,,,,,,,,,,
,580,깨끗하다,to be clean,,,,,,,,,,,,,,,,,,,,,,,,
,581,더럽다,to be dirty,,,,,,,,,,,,,,,,,,,,,,,,
,582,힘이 세다,to be strong,,,,,,,,,,,,,,,,,,,,,,,,
,583,약하다,to be weak,,,,,,,,,,,,,,,,,,,,,,,,
,584,살다,to live,,,,,,,,,,,,,,,,,,,,,,,,
